name,latitude,longitude,amenity,highway,
LifeLine Hospital,18.5597445,73.8062674,hospital,,
Clarion Park,18.5586194,73.8043281,parking,,
Iceberg,18.5315199,73.8317233,cafe,,
Funky's Stuff,18.5168375,73.8787061,,,
Zamu's Place,18.5365716,73.8757543,restaurant,,
Bajaj Motorbikes,18.5331501,73.8778809,showroom,,
Sadanand Resorts,18.5683679,73.7666377,restaurant,,
Baner Post Office,18.5699952,73.7663802,post_office,,
Elite Empire,18.574226,73.780274,parking,,
Mantri Lawns,18.5598879,73.8070055,parking,,
Dr. Chowdhary,18.5547291,73.8082012,hospital,,
Dr. Bonagiri,18.5554816,73.8088556,hospital,,
Spicer Health Foods,18.5630488,73.8195308,fast_food,,
Khadki Fish Market,18.5618077,73.8376836,,,
Sanskriti Prangan,18.5662214,73.7822591,residence,,
Chung Fa,18.5169144,73.8794546,restaurant,,
Mayur Thali,18.5166042,73.8795245,restaurant,,
Shree Sakthi Hospital,18.5883392,73.8015444,hospital,,
Ram Dev Store,18.543612,73.7858854,,,
Lokseva CBSE School,18.5463629,73.7838017,school,,
Ishwar Drug House,18.5434538,73.7845372,pharmacy,,
Metro Chemists,18.543525,73.7843119,pharmacy,,
Hotel Parichay,18.5435148,73.7841772,restaurant,,
Hotel Prasanna,18.5435326,73.7844503,restaurant,,
City Pride Multiplex,18.4886957,73.857908,cinema,,
Karva Hospital,18.5009733,73.8461063,hospital,,
Dhanashree Supermarket,18.5440332,73.782124,,,
Sri Krishna Temple,18.6579448,73.7701877,place_of_worship,,
Gayatri Pure Veg,18.6584092,73.7689483,restaurant,,
Dakshinmukhi Maruti Mandir,18.6569893,73.7680848,place_of_worship,,
Kendriya Vidyalaya No. 2 Dehu Road,18.6730544,73.7459281,school,,
Mahatma Gandhi Marathi Vidyalaya,18.6770184,73.734105,school,,
Ayurvedic Hospital,18.6548547,73.7696807,hospital,,
Kirti Vidyalaya High School,18.6571621,73.7663392,school,,
Ashapura Stationery,18.5442452,73.7829196,,,
Jeevan Deep Medicare Centre,18.5432946,73.7838496,hospital,,
Dr. Rangappa's Ayurvedic Clinic,18.5437305,73.7852375,clinic,,
Sai Dabeli Centre,18.5433033,73.7849183,fast_food,,
Dr. Mane's Dental Clinic,18.5424578,73.7907722,dentist,,
VitaLife Clinic,18.5424692,73.7907426,clinic,,
Shri Narayaneshwar Temple,18.3013691,73.9749648,place_of_worship,,
The Gordon House,18.5380015,73.8357003,,,
Shivanjali Restaurant and Bar,18.5425963,73.7887912,restaurant,,
Wonder Funkey,18.4990996,73.7892771,,,
Shri Swami Samarth Temple,18.5454777,73.7855067,place_of_worship,,
Sai Chowk Rickshaw Stand,18.5434974,73.7856128,taxi,,
Sri Balaji Temple,18.5416824,73.7897361,place_of_worship,,
Dr. Nitin Joglekar's Clinic,18.5435561,73.7843869,clinic,,
Anand Hospital,18.6539354,73.7646919,hospital,,
Bhavani mandir,18.5132045,73.8130867,place_of_worship,,
Hotel Kinara,18.507489,73.8063898,fast_food,,
Sahyadri Hospital,18.5074625,73.8057842,hospital,,
Krishna Hospital Pune,18.5092055,73.8128199,hospital,,
PCMC_Bhavan,18.6187378,73.7863964,metroStation,,
Pratik Paav Bhaji,18.507835,73.8090612,fast_food,,
Rahul Medicals,18.5117315,73.8088896,pharmacy,,
New India School,18.5114263,73.7949421,school,,
Dashabhuja Mandir,18.5057991,73.8258505,place_of_worship,,
Fast Food,18.7117934,73.6526477,fast_food,,
गोकुळ,18.588516,73.7830226,restaurant,,
Tech Mahindra Cafe,18.5813012,73.6889905,cafe,,
Cosmos Bank Pashan Branch,18.5373285,73.7935948,bank,,
IDBI Bank,18.5424407,73.7908082,bank,,
Union Bank of India,18.544249,73.7830649,bank,,
State Bank of India Pashan Branch,18.5436126,73.7866204,bank,,
Hutchings High School,18.500656,73.881898,school,,
Vishal Mega Mart,18.5036855,73.900788,,,
Atlantis,18.4909464,73.9002064,restaurant,,
Kendriya Vidyalaya,18.4869487,73.8816048,school,,
Wisdom International School,18.5982157,73.7810899,school,,
Yerawada,18.5656319,73.8865762,cafe,,
Saint Mary's High School,18.5092631,73.8839949,school,,
Datta Mandir Chowk,18.5651755,73.9140006,,crossing,
United Colors of Benetton,18.5193591,73.877041,,,
Pizza Hut,18.5191455,73.8775238,restaurant,,
Westside,18.5191993,73.8777121,,,
Judicial Canteen,18.5243164,73.873222,cafe,,
Durga Cafe,18.4850121,73.8161195,cafe,,
ICICI Bank ATM,18.5097727,73.8141239,atm,,
Hotel Palavi,18.5098693,73.8144673,restaurant,,
Hotel Durga,18.5103221,73.8163126,fast_food,,
Dev Krupa Petrol Pump,18.6678408,73.8905684,fuel,,
MAE Boys Hostel,18.6750066,73.8919095,,,
Red rose coffee,18.6678002,73.8899675,cafe,,
"Suncity Road Fire Station, Pune",18.4754767,73.815447,fire_station,,
Sun City,18.4748763,73.8136551,bus_station,,
Madhukar General Hospital,18.4789234,73.8241232,hospital,,
Siddhivinayak Medico,18.4745969,73.8139227,pharmacy,,
HDFC Bank,18.4779601,73.8240347,atm,,
Sanskar,18.4760602,73.8156374,kindergarten,,
Dr. Mudgerikar Clinic,18.477378,73.819076,hospital,,
Dr. Bodhe Clinic,18.4745186,73.8132288,hospital,,
Dr. Naik Clinic,18.4745644,73.8140764,hospital,,
Bank of Maharashtra,18.4788316,73.8240413,bank,,
Sarswat Bank,18.4769185,73.8181727,bank,,
Reliance Smart,18.5509546,73.9376534,,,
Manas Microsystems Pvt. Ltd.,18.6278783,73.8369404,kindergarten,,
Shatrunjay Temple,18.4515076,73.878051,place_of_worship,,
Shopper's Stop,18.5214834,73.8769313,,,
Bhumkar Chowk,18.6055586,73.7525133,,motorway_junction,
Anand Magal Karyalaya,18.5010303,73.8551825,community_centre,,
Sinhagad Parking,18.3645771,73.7612647,bicycle_parking,,
Tarkeshwar Shiva Temple,18.5458144,73.88207,place_of_worship,,
Medical Shop,18.6590075,73.797746,pharmacy,,
Chaphekar Chowk,18.6300865,73.7798966,bus_station,,
Coffee Street,18.648371,73.7657394,cafe,,
Shivar Garden,18.5950013,73.7875593,restaurant,,
lib,18.5748417,73.8922142,library,,
Sadal Baba,18.5436996,73.8782389,place_of_worship,,
Church,18.5582809,73.8547057,place_of_worship,,
Symbiosis Viswabhavan Boys Hostel,18.5228082,73.830083,student_accomodation,,
Global Punjab,18.5096188,73.9283508,restaurant,,
Punjab National Bank,18.5094711,73.9286247,bank,,
Darshan,18.5140762,73.8409178,restaurant,,
International Book Service,18.5149568,73.8421182,,,
Chitale Bandhu Mithaiwale,18.5155309,73.8418354,,,
Regal Bakery,18.5141066,73.8407679,,,
ICICI Bank,18.5188204,73.830977,bank,,
Pharmacy,18.516684,73.833895,pharmacy,,
Apollo Pharmacy,18.517157,73.8339486,pharmacy,,
Vet Care Pet Clinic,18.5176759,73.8345121,veterinary,,
The Four Fountains Spa,18.5167705,73.8365345,,,
Kotak Mahindra Bank,18.5179556,73.8375148,bank,,
Balbhim Mandir,18.5163177,73.8369583,place_of_worship,,
Shubham Medical,18.5134285,73.8376342,pharmacy,,
Oriental Bank of Commerce,18.5138354,73.8376342,bank,,
Cafe Good Luck,18.5172995,73.8414591,restaurant,,
Archie's Gallery,18.5176606,73.8420223,,,
Deccan Gymkhana Police Chowki,18.5141406,73.8403808,police,,
Deccan Gymkhana Post Office,18.5151122,73.8418668,post_office,,
Vegetable Market,18.5146798,73.8418077,,,
R Deccan Multiplex,18.51645,73.8423388,cinema,,
HP,18.517035,73.8419687,fuel,,
P.G.HOSTEL,18.4594674,73.8558809,,,
Honda Shop,18.4711224,73.8564785,,,
Bharat Petroleum,18.4686347,73.8580494,fuel,,
Datta Mandir,18.5103044,73.7902194,place_of_worship,,
Cafe Cofee Day,18.5086466,73.789635,cafe,,
Punjab Canteen,18.4965595,73.802295,restaurant,,
Nancy Lake Homes Swimming Pool,18.4586542,73.8603581,,,
Nancy Lake Homes Club House,18.4586694,73.8601059,,,
Bharati Vidyapeeth Police Station,18.4590242,73.8576127,police,,
KK Market,18.4694397,73.8601477,,,
Woodland Resturant,18.4747312,73.8560171,restaurant,,
D-Mart Store,18.4792277,73.8569481,,,
P N Gadgil,18.5102418,73.8190027,,,
Ganesh Temple,18.5102723,73.8091406,place_of_worship,,
Tiger Trail,18.5464794,73.9065617,restaurant,,
Hindustan Petroleum (HP),18.5939372,73.7355357,fuel,,
Manapa Bhavan,18.5230248,73.8534229,bus_station,,
Punjabi Dhaba,18.5651701,73.9113565,restaurant,,
Diamond Super Market,18.5698664,73.9109165,,,
Hotel Executive Residency,18.5411401,73.8877559,,,
Gypsy Tents,18.5095196,73.8722916,,,
Ganesh Super Shopee,18.4628604,73.8047957,,,
Rajyog C Play area,18.4624942,73.8041016,,,
Car Parking DP Road,18.462484,73.8052603,parking,,
Pushpak General Store,18.6008347,73.7639913,,,
Pimple Saudagar Police Statiom,18.6015562,73.7993609,police,,
Subway,18.596572,73.789165,fast_food,,
Domino's,18.5957803,73.7882522,fast_food,,
One way Food,18.4922841,73.8337744,restaurant,,
Pruthvi Vegetarianism,18.4945107,73.8134701,restaurant,,
Basuri,18.4800904,73.8569229,restaurant,,
Khooshabu,18.4633503,73.8583829,restaurant,,
Shamli,18.5050823,73.9279049,restaurant,,
Bashri,18.5032866,73.9277976,restaurant,,
Abhiruchi City Pride,18.462949,73.8165301,cinema,,
Cosmos Co-operative Bank Ltd Branch,18.4961399,73.8033154,bank,,
Cosmos Bank,18.496028,73.8017624,bank,,
Podar International School,18.6247358,73.7865421,school,,
Oam Ganesh Temple,18.6194568,73.7826667,place_of_worship,,
Abhishek Veg,18.5037935,73.8306467,restaurant,,
Meghdoot,18.4807993,73.8752608,restaurant,,
Panchami,18.4926639,73.8574632,restaurant,,
Smokin' Joe's,18.4919816,73.8574616,fast_food,,
parmar Tailer,18.6429311,73.7717557,marketplace,,
Vedant,18.4887519,73.8571728,restaurant,,
Shewale Hospital,18.5626652,73.8325327,hospital,,
Indraprasta Karyalay,18.5387294,73.830199,community_centre,,
"Oasis Restaurant, Bar and Banquets",18.4977614,73.7876344,restaurant,,
shitai hotel,18.6768318,73.8773743,,,
JK Hill Park Bus Stop,18.4513059,73.8110435,bus_station,bus_stop,
Trimurti Hospital,18.462396,73.8150518,hospital,,
Sun Medico,18.4747326,73.8132241,pharmacy,,
Dadimata Shop,18.4744681,73.8156488,,,
Tupperware @ Masurkar,18.4752211,73.8134065,,,
Reliance Mart,18.5631428,73.8071709,,,
Pesto Pesto,18.5381475,73.9068979,cafe,,
St Thomas Orthodox Church,18.5629768,73.8397559,place_of_worship,,
Varadshree Karyalay,18.5104607,73.8538907,events_venue,,
Namah,18.6003507,73.7757061,restaurant,,
Dominoz Bharati Vidyapeeth,18.4586483,73.8584426,fast_food,,
Bread Story,18.5446577,73.9056381,,,
Malaka Spice,18.5374326,73.8973367,restaurant,,
New swimming center,18.4773901,73.8187812,,,
Dorabjee's - Viman Nagar,18.5685148,73.9074459,,,
Great Kebab Factory,18.5532327,73.9378665,restaurant,,
mahalaxmi bus stop,18.5707917,73.8792033,bus_station,,
Marrakesh,18.5487745,73.9056726,restaurant,,
Abhiman Hotel,18.5405197,73.8192184,restaurant,,
Rajmudra Petroleum,18.6124229,73.7175038,fuel,,
One Way Foods,18.4956381,73.8107689,restaurant,,
Boudh Vihor Temple,18.4705278,73.8558611,place_of_worship,,
Khandale Scrap Store,18.4706911,73.8558424,,,
Kirane Store,18.4701944,73.8555833,,,
Krushna Store,18.47,73.8558889,,,
Maruti Temple,18.4705833,73.8555974,place_of_worship,,
Mhasoba Bamaj Temple,18.4709167,73.85525,place_of_worship,,
Primurti Hairdresser,18.4704167,73.8556389,,,
Puja Beauty Parlour,18.4707046,73.855221,,,
Raju Pardeshi Tailor,18.4706097,73.8552211,,,
Ram Super Store,18.4706604,73.8552211,,,
Shankar Mandir Temple,18.4701667,73.8552778,place_of_worship,,
Sohan Store,18.4709233,73.8558389,,,
Somaj Mandir Temple,18.4700556,73.8559167,place_of_worship,,
Ganesh Sanjay Temple,18.4716111,73.8558333,place_of_worship,,
Mahalaxmi Bangles,18.4714167,73.8556667,,,
Mahalaxmi,18.4709444,73.8555278,,,
Mhasoba Temple,18.4715833,73.8553889,place_of_worship,,
Nav Ekta Mitramandle,18.47125,73.8558611,place_of_worship,,
Samaj Mandir,18.4701962,73.8559466,kindergarten,,
Swami Samorth,18.4713333,73.8554722,,,
Basho's,18.5306779,73.9183814,restaurant,,
Eddie's Kitchen,18.5175183,73.8748581,restaurant,,
Shape and Glow,18.6481157,73.7701465,,,
Sambhaji chowk Indian Oil,18.6472491,73.7701392,fuel,,
Mezza9,18.5942596,73.734581,restaurant,,
Manthan Mishthan,18.6007386,73.7640197,,,
Baba computers,18.4972413,73.8395618,,,
The Mobile Store,18.5101044,73.8177429,,,
Aircel Gallery,18.5101095,73.8178127,,,
Canara Bank,18.6433377,73.7723353,bank,,
Axis Bank,18.5049281,73.8180109,bank,,
The Phoenix Library,18.5132392,73.8491157,library,,
Reliance Smart Bazaar,18.4991655,73.821795,,,
College of Agriculture,18.5319801,73.8446658,school,,
Kotak Mahindra ATM,18.5106824,73.8175894,atm,,
Sanjiwini Hospital,18.4433669,73.848079,hospital,,
Hanuman Super market,18.446812,73.8491251,,,
Sehgal Autoriders Maruti Service,18.5228452,73.7692736,,,
Chowgule Industries Maruti Service,18.4427184,73.8603123,,,
Shree Mahalaxmi Sabhagruha,18.4958334,73.8516004,community_centre,,
D mart,18.544444,73.9111235,,,
Ganesh Peth Police station,18.5161748,73.8621906,police,,
Chowgule Maruti Suzuki Showroom,18.4878834,73.856196,,,
Neelkamal,18.3148581,73.8640451,restaurant,,
Shiv Mandir,18.6021761,73.7993505,place_of_worship,,
Shiva Temple,18.475961,73.895611,place_of_worship,,
Baker's Point,18.477164,73.895874,,,
The Bishop's Co-Education School,18.4581575,73.9150286,school,,
Hinjawadi Post Office,18.5864538,73.7368395,post_office,,
Donut Magic,18.481153,73.901725,restaurant,,
Faaso's,18.4789604,73.9017808,fast_food,,
Indira Vasahat,18.481568,73.900633,bus_station,bus_stop,
RIMS International School and Junior College,18.4772712,73.9021993,school,,
Dashabhuja Ganapati,18.4891341,73.8460637,place_of_worship,,
Laxminagar Police chowky,18.4896021,73.8497008,police,,
Forever Music Pvt. Ltd / Forever Arts Academy,18.48977,73.8433439,school,,
Sicilia Italian Restaurant & Lounge,18.539333,73.87508,restaurant,,
Bizzbay,18.4693177,73.9001256,,,
Choice Hardware,18.477466,73.89492,,,
The Village,18.477122,73.89507,bar,,
Sant_Tukaram_Nagar,18.6125595,73.7972155,metroStation,,
Lazy Pipes Café,18.4790602,73.9017582,fast_food,,
Brew Brothers,18.477798,73.9016322,cafe,,
Novelty Beauty Parlour,18.4783032,73.9015583,,,
Mumbai Chowpatti,18.4795875,73.901369,fast_food,,
Graffiti Bookstore,18.481689,73.900789,,,
Prabhat Super Shoppe,18.477099,73.895156,,,
Prakash Super Shoppe,18.4774802,73.89503,,,
Diamond Bakery,18.5048115,73.9011924,,,
Bhairavnath Mandir,18.5069608,73.8987734,place_of_worship,,
Intencity,18.5141993,73.8754965,,,
SBI ATM,18.5255233,73.8295486,atm,,
State Bank of India,18.5255743,73.8295482,bank,,
Parvati Museum,18.4972669,73.8468291,,,
Parvati,18.497561,73.8470954,place_of_worship,,
Snakpak,18.5469392,73.8056681,vending_machine,,
IISER New Hall of Residence,18.5435714,73.8058684,,,
Indian In A Box,18.5940851,73.7341604,restaurant,,
Hinjawadi Police Chowki,18.5917477,73.7387073,police,,
Shani Maruti Temple,18.4683694,73.8639829,place_of_worship,,
Panchvati Gaurav,18.5178988,73.8386127,restaurant,,
Sinhagad Fort,18.3651456,73.7552242,,,
Gandhi Bhavan Library,18.4964855,73.803304,library,,
IndusInd Bank,18.5003624,73.8224487,bank,,
Bal Shivaji Chauk,18.5046947,73.8388301,,traffic_signals,
Bakaji Chowk,18.5170163,73.7713053,,motorway_junction,
Kollage Food Court,18.5138821,73.8285786,cafe,,
Yerawada Police Station,18.5527989,73.8957965,police,,
Janata Sahakari Bank,18.5596624,73.9282894,,,
More,18.5508077,73.9392535,,,
Bangalore Iyengar Bakery,18.5618865,73.9318372,,,
Star Bazaar,18.5614294,73.9172036,,,
Bank of India,18.5650297,73.9161442,bank,,
Kukudku,18.5511636,73.939013,,,
Samir Chicken And Eggs,18.5510223,73.9391358,,,
Local Fishmonger,18.5578799,73.9314432,,,
Amir Chicken And Eggs,18.564969,73.9174743,,,
Butter Brews,18.533123,73.8970243,fast_food,,
Greenfood,18.501756,73.8105515,restaurant,,
Kothrud Fire Station,18.4988894,73.8134797,fire_station,,
Raymond,18.5173092,73.842353,,,
Vasu Medicals,18.502253,73.8047919,pharmacy,,
Sweet Chariot,18.527138,73.8416279,cafe,,
The Flour Works,18.5490038,73.9004452,restaurant,,
Gera Junction,18.4858591,73.8889844,,traffic_signals,
DCC,18.5166827,73.8440779,,,
Wadeshwar,18.5184279,73.8416116,restaurant,,
Khunya Murlidhar Mandir,18.5115855,73.8505554,place_of_worship,,
Bajirao I statue,18.520627,73.8553084,,,
Maharshi Dhondo Keshav Karve,18.5019805,73.8150555,,,
Amrapali,18.518642,73.8415805,restaurant,,
Barbeque Nation,18.5163182,73.8423121,restaurant,,
Champion Sports Wear,18.5162446,73.8415571,,,
Champion Sports,18.5162224,73.8414623,,,
Vaishali,18.520848,73.8412179,restaurant,,
Venus Traders,18.5193628,73.8420529,,,
Naturals,18.5231678,73.8475945,ice_cream,,
FC Road,18.5220938,73.8412187,parking,,
Baadshahi,18.5086926,73.8488417,restaurant,,
Jaihind Collections,18.5048222,73.8217262,,,
Lokmanya Nagar Post Office,18.4991861,73.8449616,post_office,,
Khandujibaba Vitthal Mandir,18.5145601,73.8427254,place_of_worship,,
Padmavati Mandir,18.4773167,73.8547704,place_of_worship,,
Gyaneshwar Maharaj,18.6771074,73.8967097,place_of_worship,,
Atithi,18.6720025,73.8898157,restaurant,,
MAE girls hostel,18.6702136,73.8891934,,,
Balagandharva Police Station,18.5222358,73.8478417,police,,
Dulya Maruti,18.5162403,73.8627746,place_of_worship,,
Sant Kabir Police Station,18.5148758,73.8688574,police,,
Kasba Ganpati,18.5190304,73.8572406,place_of_worship,,
Surya Sahyadri Hospital,18.521259,73.8556767,hospital,,
circle of queen,18.4773331,73.8965901,,turning_circle,
Navi Peth Vitthal Mandir,18.5099251,73.8458716,place_of_worship,,
Sai Mandir,18.4852771,73.941354,place_of_worship,,
Shri Mahadev Mandir,18.485352,73.9395166,place_of_worship,,
Ganpati Mandir,18.4908548,73.9320082,place_of_worship,,
Tukai Temple,18.4875613,73.9470199,place_of_worship,,
Rajas Garden,18.5300088,73.8320743,,,
Bharati Vidhyapeeth College Of Engineering,18.4566136,73.8563024,college,,
Roopali,18.5193443,73.8414253,restaurant,,
Sumitz,18.5765004,73.7645476,clinic,,
New Poona Bakery,18.5639085,73.7829244,,,
Do Say Idlicious,18.5617981,73.7835145,restaurant,,
Jhulelal Hindu Temple,18.484929,73.9029662,place_of_worship,,
CNG PETROL PUMP,18.5921702,73.8037493,fuel,,
Untade Maruti Mandir,18.5194948,73.8672569,place_of_worship,,
Vishrambag Wada,18.5137558,73.8531763,post_office,,
Amul,18.2998596,73.874463,cafe,,
Chaitanya Paranthas,18.5097729,73.816251,restaurant,,
Maruti Suzuki,18.5267177,73.8300017,,,
DSK Toyota,18.5301849,73.8371555,,,
Eden Court,18.5325596,73.8341131,restaurant,,
Little Italy,18.5348218,73.8381397,restaurant,,
Om Super Market,18.5328717,73.8340408,,,
Perugate Police Chowki,18.5113926,73.8487755,police,,
Someshwar Mandir,18.5138161,73.8604832,place_of_worship,,
Soul Kitch,18.5348843,73.8381849,restaurant,,
Visava Maruti Mandir,18.5112645,73.8426877,place_of_worship,,
Bavdhan Police Chowki,18.5224956,73.7795837,police,,
Chitale Bandhu Mithiwale,18.5080977,73.7964418,,,
Four Seasons Restaurant & Bar,18.5036735,73.8215607,restaurant,,
Yolkshire,18.5032899,73.8216326,restaurant,,
Hanuman Mandir,18.5240472,73.8177328,place_of_worship,,
Burger King,18.5391378,73.9046835,fast_food,,
Badhai Sweets,18.5018306,73.8050111,,,
Joshi's Museum of Miniature Railways,18.5014117,73.822364,,,
Kothrud Post Office,18.5019716,73.814668,post_office,,
Yashwantrao Chavan Art Gallery,18.5029785,73.8123271,arts_centre,,
Kalewadi Phata,18.6036761,73.7772787,,traffic_signals,
Jnaneshwar Paduka Mandir,18.5268189,73.8416266,place_of_worship,,
Krishna Pure Veg,18.487046,73.8128332,restaurant,,
Shivsagar,18.5202983,73.8457959,restaurant,,
Gold's Gym,18.4991044,73.822031,,,
Shell,18.5988819,74.0051157,fuel,,
Hindustan Petroleum,18.6089666,74.0149322,fuel,,
Alankar Police Chowki,18.4984329,73.8262153,police,,
Chaat Cafe,18.5013222,73.8221818,restaurant,,
Garud Ganapati Mandir,18.5136612,73.8456282,place_of_worship,,
Mati Ganapati Mandir,18.515851,73.8467687,place_of_worship,,
Senadatta Police Chowki,18.5052065,73.8446033,police,,
Cafe Eastwood,18.4987178,73.8193274,cafe,,
Siya,18.4990493,73.8193074,restaurant,,
Hatti Ganpati Mandir,18.5112234,73.845858,place_of_worship,,
Abhishek Non-Veg,18.5040868,73.8305613,restaurant,,
Kalinga Seafood Restaurant,18.5080294,73.8350616,restaurant,,
